Código;Descrição
55856;1 PARC. 13º SALARIO
55857;2º PARC. 13º SALÁRIO
55858;ADIANTAMENTO 13º SALARIO
55859;ADIANTAMENTO SALARIAL
5625;Capiatal Integralizado
54258;Capital a Integralizar
55860;DARF IRRF
55861;DARF PIS FOLHA
55853;DARF PIS S/FOLHA
7855;Despesa Com Lanche
659;Despesa com Moto-Taxi
547455;Despesa com Uber
55852;DESPESA GPS DO MÊS
78556;Despesas com Alimentação
558452;Despesas com Combustível
782255;Despesas com Condomínio
7856;Despesas com Material de Escritório
566955;Despesas com Médicas
78556;Despesas com Reforma
5422596;Dinheiro da Mae
56235;Dinheiro do Pai
55862;FALTAS
55882;FÉRIAS - INDENIZADA
55863;FÉRIAS DO MES
55865;FGTS
55866;FGTS A PAGAR
55867;FGTS PAGO NA RESCISÃO
55868;FOLHA PAGAMENTO
55869;GUIA DE RECOLHIMENTO
55870;INSS
55871;INSS A PAGAR
55872;INSS PRO LABORE
55873;INSS S/ 13º SALÁRIO
55874;INSS S/FÉRIAS
55854;IRRF
55875;IRRF EMPREGADO
55845;Lançamento Padrão
55855;OUTRAS DESPESAS DARF
55876;PAGAMENTO 13º SALARIO
55877;PAGAMENTO DE SALARIO MES
55884;PAGAMENTO GPS DO MÊS
55878;PAGAMENTO SALÁRIOS REF
55879;PAGO RETIRADA DE SOCIO(A)
55846;Pago Salários REF
55849;PROVISÃO 13º SALARIO DO PERÍODO
55848;PROVISÃO DE ENCARGO S/FÉRIAS PERÍODO
55847;PROVISÃO DE FERIAS DO PERÍODO
55850;PROVISÃO ENCARGO S/13º SAL. PERÍODO
55880;PROVISÃO IMPOSTO DE RENDA
55555;Receita Cleintes Strip
55881;RETIRADA PRO LABORE
55851;SALARIO DO MES FOLHA PAGAMENTO
55883;SERVIÇOS PRESTADOS
55864;VALOR PAGO FÉRIAS
