Conta;Código reduzido;Descrição;Analítica;is_conta_caixa_banco;is_conta_patrimonial;is_conta_resultado;is_caixa;is_banco;is_a_receber;is_a_pagar
1.1.01;1101;Caixa e Equivalentes de Caixa;Não;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1.1.01.0001;11010001;Caixa Inicial;Sim;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
1.1.02;1102;Bancos;Não;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1.1.02.0001;11020001;Banco Principal;Sim;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
1.1.03;1103;Contas a Receber;Não;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
1.1.03.0003;11030003;Clientes a Receber;Sim;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
2.1.03;2103;Contas a Pagar;Não;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
2.1.03.0001;21030001;Fornecedores Nacionais;Sim;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
3.1.00;3100;Patrimônio Líquido;Não;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
3.1.00.0001;31000001;Capital Social;Sim;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
4.1.02;4102;Receita de Serviços;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4.1.02.0001;41020001;Receita de Vendas de Serviços;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4.1.03;4103;Receitas Financeiras;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4.1.03.0001;41030001;Receita Estorno do Desconto;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4.3.01;4301;Descontos Obtidos;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4.3.01.0001;43010001;Descontos Obtidos ao Pagar;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
5.1.01;5101;Custos Operacionais;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
5.1.01.0003;51010003;Desconto Concedido;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
5.1.01.0010;51010010;Despesa com Fornecedores em Geral;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
5.2.01;5201;Despesas Financeiras;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
5.2.01.0003;52010003;Estorno Desconto Obtido;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
6.1.01;6101;Despesas Administrativas;Não;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
6.1.01.0010;61010010;Despesas com Aluguel;Sim;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
